timestamp,temperature,humidity,cloud_cover,shortwave_radiation,dni,diffuse_radiation,wind_speed
2009-01-01T00:00,-0.8,95,94,0.0,0.0,0.0,6.6
2009-01-01T01:00,-1.3,95,25,0.0,0.0,0.0,7.6
2009-01-01T02:00,-1.9,96,13,0.0,0.0,0.0,6.7
2009-01-01T03:00,-1.7,95,44,0.0,0.0,0.0,2.3
2009-01-01T04:00,-2.8,96,71,0.0,0.0,0.0,1.8
2009-01-01T05:00,-2.7,96,82,0.0,0.0,0.0,3.8
2009-01-01T06:00,-2.3,96,98,0.0,0.0,0.0,5.8
2009-01-01T07:00,-1.4,95,94,0.0,0.0,0.0,7.5
2009-01-01T08:00,-1.2,94,91,0.0,0.0,0.0,8.0
2009-01-01T09:00,-0.5,93,89,0.0,0.0,0.0,7.1
2009-01-01T10:00,-0.5,93,83,0.0,0.0,0.0,8.0
2009-01-01T11:00,-0.1,92,80,29.0,78.8,22.0,8.6
2009-01-01T12:00,0.6,89,95,66.0,46.0,57.0,8.9
2009-01-01T13:00,1.5,87,100,142.0,202.6,87.0,8.7
2009-01-01T14:00,2.1,85,100,163.0,178.1,108.0,8.9
2009-01-01T15:00,2.5,84,100,143.0,127.9,104.0,9.1
2009-01-01T16:00,2.6,84,100,88.0,30.7,80.0,9.5
2009-01-01T17:00,2.5,84,99,54.0,22.4,50.0,9.4
2009-01-01T18:00,2.0,86,99,15.0,0.0,15.0,9.2
2009-01-01T19:00,1.6,88,95,0.0,0.0,0.0,10.0
2009-01-01T20:00,1.1,87,97,0.0,0.0,0.0,10.2
2009-01-01T21:00,-0.1,88,96,0.0,0.0,0.0,10.2
2009-01-01T22:00,-0.7,88,94,0.0,0.0,0.0,10.7
2009-01-01T23:00,-1.1,87,87,0.0,0.0,0.0,10.2
2009-01-02T00:00,-1.3,86,85,0.0,0.0,0.0,8.3
2009-01-02T01:00,-1.6,86,87,0.0,0.0,0.0,7.4
2009-01-02T02:00,-1.9,86,86,0.0,0.0,0.0,7.6
2009-01-02T03:00,-2.3,86,83,0.0,0.0,0.0,7.8
2009-01-02T04:00,-2.6,86,93,0.0,0.0,0.0,8.6
2009-01-02T05:00,-2.6,85,96,0.0,0.0,0.0,9.5
2009-01-02T06:00,-2.7,85,93,0.0,0.0,0.0,9.7
2009-01-02T07:00,-2.7,84,86,0.0,0.0,0.0,10.2
2009-01-02T08:00,-2.7,83,82,0.0,0.0,0.0,10.0
2009-01-02T09:00,-2.4,86,88,0.0,0.0,0.0,10.5
2009-01-02T10:00,-2.4,86,84,0.0,0.0,0.0,11.1
2009-01-02T11:00,-2.2,85,84,37.0,145.8,24.0,11.4
2009-01-02T12:00,-1.5,82,93,82.0,117.1,59.0,12.7
2009-01-02T13:00,-0.9,80,86,116.0,165.2,71.0,12.6
2009-01-02T14:00,-0.0,76,72,160.0,212.8,94.0,13.0
2009-01-02T15:00,0.5,72,62,181.0,345.6,75.0,14.3
2009-01-02T16:00,1.0,68,49,163.0,331.4,76.0,14.5
2009-01-02T17:00,0.8,71,18,119.0,343.4,57.0,12.8
2009-01-02T18:00,-0.2,75,31,35.0,214.4,18.0,13.0
2009-01-02T19:00,-0.6,79,58,0.0,0.0,0.0,14.3
2009-01-02T20:00,-0.5,82,61,0.0,0.0,0.0,14.8
2009-01-02T21:00,-0.7,92,69,0.0,0.0,0.0,15.0
2009-01-02T22:00,-0.7,94,79,0.0,0.0,0.0,15.0
2009-01-02T23:00,-0.3,92,66,0.0,0.0,0.0,16.1
2009-01-03T00:00,-0.3,91,87,0.0,0.0,0.0,16.3
2009-01-03T01:00,-0.2,88,92,0.0,0.0,0.0,16.4
2009-01-03T02:00,-0.2,86,92,0.0,0.0,0.0,16.6
2009-01-03T03:00,-0.2,84,91,0.0,0.0,0.0,16.8
2009-01-03T04:00,-0.4,83,75,0.0,0.0,0.0,16.1
2009-01-03T05:00,-0.5,82,89,0.0,0.0,0.0,16.1
2009-01-03T06:00,-0.6,80,88,0.0,0.0,0.0,16.3
2009-01-03T07:00,-0.7,78,88,0.0,0.0,0.0,16.5
2009-01-03T08:00,-1.0,77,91,0.0,0.0,0.0,15.9
2009-01-03T09:00,-1.1,81,88,0.0,0.0,0.0,15.9
2009-01-03T10:00,-1.0,79,74,0.0,0.0,0.0,15.7
2009-01-03T11:00,-0.8,78,65,34.0,122.9,23.0,14.5
2009-01-03T12:00,-0.5,74,50,95.0,152.1,65.0,14.3
2009-01-03T13:00,-0.2,70,27,162.0,259.5,91.0,16.4
2009-01-03T14:00,0.2,67,34,222.0,311.3,125.0,16.9
2009-01-03T15:00,0.4,66,16,247.0,457.1,106.0,16.4
2009-01-03T16:00,0.3,66,6,206.0,423.3,94.0,16.6
2009-01-03T17:00,-0.2,69,10,137.0,453.8,54.0,13.8
2009-01-03T18:00,-1.4,73,25,44.0,285.4,21.0,11.8
2009-01-03T19:00,-2.6,78,12,0.0,0.0,0.0,10.7
2009-01-03T20:00,-3.3,81,8,0.0,0.0,0.0,10.0
2009-01-03T21:00,-2.9,87,5,0.0,0.0,0.0,10.0
2009-01-03T22:00,-3.2,88,1,0.0,0.0,0.0,9.4
2009-01-03T23:00,-3.5,88,0,0.0,0.0,0.0,8.9
2009-01-04T00:00,-3.8,88,0,0.0,0.0,0.0,8.4
2009-01-04T01:00,-4.2,89,0,0.0,0.0,0.0,7.4
2009-01-04T02:00,-4.7,89,0,0.0,0.0,0.0,6.1
2009-01-04T03:00,-5.2,89,0,0.0,0.0,0.0,5.9
2009-01-04T04:00,-5.6,89,1,0.0,0.0,0.0,5.3
2009-01-04T05:00,-5.8,89,30,0.0,0.0,0.0,5.4
2009-01-04T06:00,-5.9,89,75,0.0,0.0,0.0,5.7
2009-01-04T07:00,-6.0,89,1,0.0,0.0,0.0,5.0
2009-01-04T08:00,-6.0,89,16,0.0,0.0,0.0,5.6
2009-01-04T09:00,-6.3,92,78,0.0,0.0,0.0,6.0
2009-01-04T10:00,-6.1,91,98,1.0,0.0,1.0,6.4
2009-01-04T11:00,-4.7,91,100,53.0,211.4,34.0,4.1
